ISPB,Nome_Reduzido,Número_Código,Participa_da_Compe,Acesso_Principal,Nome_Extenso,Início_da_Operação
22610500,VORTX DTVM LTDA.                                            ,310,Não,RSFN,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.                      ,18/10/2018
22896431,PICPAY                                                      ,380,Não,RSFN,PICPAY SERVICOS S.A.                                                            ,15/10/2020
23522214,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO                      ,163,Não,RSFN,Commerzbank Brasil S.A. - Banco Múltiplo                                        ,10/08/2016
23862762,WILL FINANCEIRA S.A.CFI                                     ,280,Não,RSFN,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO                      ",10/05/2018
24074692,GUITTA CC LTDA                                              ,146,Não,Internet,GUITTA CORRETORA DE CAMBIO LTDA.                                                ,20/05/2015
24537861,FFA SCMEPP LTDA.                                            ,343,Não,RSFN,FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,12/11/2019
26563270,CCR DE PRIMAVERA DO LESTE                                   ,279,Sim,RSFN,COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE                              ,05/06/2018
27098060,BANCO DIGIO                                                 ,335,Não,RSFN,Banco Digio S.A.                                                                ,25/11/2019
27214112,AL5 S.A. CFI                                                ,349,Não,RSFN,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO                                  ",24/10/2019
27302181,CRED-UFES                                                   ,427,Não,RSFN,COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO ,26/04/2021
27351731,REALIZE CFI S.A.                                            ,374,Não,RSFN,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.                              ",16/09/2020
27652684,GENIAL INVESTIMENTOS CVM S.A.                               ,278,Não,RSFN,Genial Investimentos Corretora de Valores Mobiliários S.A.                      ,14/05/2018
27842177,IB CCTVM S.A.                                               ,271,Não,RSFN,"IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.                      ",26/02/2018
28127603,BCO BANESTES S.A.                                           ,021,Sim,RSFN,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO                                 ,22/04/2002
28195667,BCO ABC BRASIL S.A.                                         ,246,Sim,RSFN,Banco ABC Brasil S.A.                                                           ,22/04/2002
28650236,BS2 DTVM S.A.                                               ,292,Não,RSFN,BS2 Distribuidora de Títulos e Valores Mobiliários S.A.                         ,24/10/2018
28719664,Balcão B3                          ,n/a,Não,RSFN,Sistema do Balcão B3                                                            ,22/04/2002
29011780,CIP C3                             ,n/a,Não,RSFN,Câmara Interbancária de Pagamentos - CIP C3                                     ,30/01/2012
29030467,SCOTIABANK BRASIL                                           ,751,Não,RSFN,Scotiabank Brasil S.A. Banco Múltiplo                                           ,22/04/2002
29162769,TORO CTVM S.A.                                              ,352,Não,RSFN,TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                            ,29/11/2019
30306294,BANCO BTG PACTUAL S.A.                                      ,208,Sim,RSFN,Banco BTG Pactual S.A.                                                          ,22/04/2002
30680829,NU FINANCEIRA S.A. CFI                                      ,386,Não,RSFN,"NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento         ",12/01/2021
30723886,BCO MODAL S.A.                                              ,746,Sim,RSFN,Banco Modal S.A.                                                                ,22/04/2002
31597552,BCO CLASSICO S.A.                                           ,241,Sim,RSFN,BANCO CLASSICO S.A.                                                             ,22/04/2002
31749596,IDEAL CTVM S.A.                                             ,398,Não,RSFN,IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                           ,11/01/2021
31872495,BCO C6 S.A.                                                 ,336,Não,RSFN,Banco C6 S.A.                                                                   ,31/01/2019
31880826,BCO GUANABARA S.A.                                          ,612,Sim,RSFN,Banco Guanabara S.A.                                                            ,22/04/2002
31895683,BCO INDUSTRIAL DO BRASIL S.A.                               ,604,Sim,RSFN,Banco Industrial do Brasil S.A.                                                 ,22/04/2002
32062580,BCO CREDIT SUISSE S.A.                                      ,505,Sim,RSFN,Banco Credit Suisse (Brasil) S.A.                                               ,22/04/2002
32402502,QI SCD S.A.                                                 ,329,Não,RSFN,QI Sociedade de Crédito Direto S.A.                                             ,30/04/2019
32648370,FAIR CC S.A.                                                ,196,Não,Internet,FAIR CORRETORA DE CAMBIO S.A.                                                   ,11/09/2017
32997490,CREDITAS SCD                                                ,342,Não,RSFN,Creditas Sociedade de Crédito Direto S.A.                                       ,26/07/2019
33042151,BCO LA NACION ARGENTINA                                     ,300,Sim,RSFN,Banco de la Nacion Argentina                                                    ,22/04/2002
33042953,CITIBANK N.A.                                               ,477,Sim,RSFN,Citibank N.A.                                                                   ,22/04/2002
33132044,BCO CEDULA S.A.                                             ,266,Sim,RSFN,BANCO CEDULA S.A.                                                               ,22/04/2002
33147315,BCO BRADESCO BERJ S.A.                                      ,122,Sim,RSFN,Banco Bradesco BERJ S.A.                                                        ,08/11/2011
33172537,BCO J.P. MORGAN S.A.                                        ,376,Sim,RSFN,BANCO J.P. MORGAN S.A.                                                          ,22/04/2002
33264668,BCO XP S.A.                                                 ,348,Não,RSFN,Banco XP S.A.                                                                   ,01/11/2019
33466988,BCO CAIXA GERAL BRASIL S.A.                                 ,473,Não,RSFN,Banco Caixa Geral - Brasil S.A.                                                 ,31/03/2009
33479023,BCO CITIBANK S.A.                                           ,745,Sim,RSFN,Banco Citibank S.A.                                                             ,22/04/2002
33603457,BCO RODOBENS S.A.                                           ,120,Sim,RSFN,BANCO RODOBENS S.A.                                                             ,06/02/2012
33644196,BCO FATOR S.A.                                              ,265,Sim,RSFN,Banco Fator S.A.                                                                ,22/04/2002
33657248,BNDES                                                       ,007,Não,RSFN,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL                            ,30/06/2014
33775974,ATIVA S.A. INVESTIMENTOS CCTVM                              ,188,Não,RSFN,"ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES                 ",28/07/2017
33862244,BGC LIQUIDEZ DTVM LTDA                                      ,134,Não,RSFN,BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA                ,28/07/2014
33885724,BANCO ITAÚ CONSIGNADO S.A.                                  ,029,Não,RSFN,Banco Itaú Consignado S.A.                                                      ,22/04/2002
33923798,BANCO MASTER                                                ,243,Sim,RSFN,BANCO MASTER S/A                                                                ,22/04/2002
34088029,LISTO SCD S.A.                                              ,397,Não,RSFN,LISTO SOCIEDADE DE CREDITO DIRETO S.A.                                          ,15/10/2020
34111187,HAITONG BI DO BRASIL S.A.                                   ,078,Não,RSFN,Haitong Banco de Investimento do Brasil S.A.                                    ,31/07/2008
34335592,ÓTIMO SCD S.A.                                              ,355,Não,Internet,ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.                                          ,21/10/2019
34711571,VITREO DTVM S.A.                                            ,367,Não,RSFN,VITREO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                      ,12/03/2020
35551187,PLANTAE CFI                                                 ,445,Não,RSFN,"PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                            ",23/06/2021
35977097,UP.P SEP S.A.                                               ,373,Não,RSFN,UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.                                 ,25/03/2020
36113876,OLIVEIRA TRUST DTVM S.A.                                    ,111,Não,RSFN,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A.              ,24/03/2011
36586946,BONUSPAGO SCD S.A.                                          ,408,Não,RSFN,BONUSPAGO SOCIEDADE DE CRÉDITO DIRETO S.A.                                      ,14/10/2020
36947229,COBUCCIO SCD S.A.                                           ,402,Não,RSFN,COBUCCIO SOCIEDADE DE CRÉDITO DIRETO S.A.                                       ,03/12/2020
37241230,SUMUP SCD S.A.                                              ,404,Não,RSFN,SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A.                                          ,16/10/2020
37414009,ZIPDIN SCD S.A.                                             ,418,Não,RSFN,ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A                        ,26/08/2021
37526080,WORK SCD S.A.                                               ,414,Não,RSFN,WORK SOCIEDADE DE CRÉDITO DIRETO S.A.                                           ,25/03/2021
37715993,ACCREDITO SCD S.A.                                          ,406,Não,RSFN,ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.                                    ,27/11/2020
37880206,CORA SCD S.A.                                               ,403,Não,RSFN,CORA SOCIEDADE DE CRÉDITO DIRETO S.A.                                           ,29/09/2020
38129006,NUMBRS SCD S.A.                                             ,419,Não,RSFN,NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.                                         ,18/03/2021
38224857,DELCRED SCD S.A.                                            ,435,Sim,RSFN,DELCRED SOCIEDADE DE CRÉDITO DIRETO S.A.                                        ,27/08/2021
39343350,CC LAR CREDI                                                ,421,Sim,RSFN,LAR COOPERATIVA DE CRÉDITO - LAR CREDI                                          ,21/07/2021
39664698,CRED-SYSTEM SCD S.A.                                        ,428,Não,RSFN,CRED-SYSTEM SOCIEDADE DE CRÉDITO DIRETO S.A.                                    ,20/04/2021
39669186,HEMERA DTVM LTDA.                                           ,448,Não,RSFN,HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                     ,17/08/2021
39676772,CREDIFIT SCD S.A.                                           ,452,Não,RSFN,CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A.                                       ,15/09/2021
40303299,PORTOPAR DTVM LTDA                                          ,306,Não,RSFN,PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.                   ,06/02/2019
40654622,TRINUS SCD S.A.                    ,444,Não,RSFN,TRINUS SOCIEDADE DE CRÉDITO DIRETO S.A.                                         ,09/09/2021
42272526,BNY MELLON BCO S.A.                                         ,017,Sim,RSFN,BNY Mellon Banco S.A.                                                           ,19/11/2012
43180355,PEFISA S.A. - C.F.I.                                        ,174,Não,RSFN,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                             ",21/11/2017
44077014,BR-CAPITAL DTVM S.A.                                        ,433,Não,RSFN,BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                  ,21/06/2021
44189447,BCO LA PROVINCIA B AIRES BCE                                ,495,Não,RSFN,Banco de La Provincia de Buenos Aires                                           ,22/04/2002
45246410,BANCO GENIAL                                                ,125,Sim,RSFN,BANCO GENIAL S.A.                                                               ,19/11/2012
46518205,JPMORGAN CHASE BANK                                         ,488,Não,RSFN,"JPMorgan Chase Bank, National Association                                       ",22/04/2002
48795256,BCO ANDBANK S.A.                                            ,065,Sim,RSFN,Banco AndBank (Brasil) S.A.                                                     ,22/04/2002
49336860,ING BANK N.V.                                               ,492,Não,RSFN,ING Bank N.V.                                                                   ,22/04/2002
50579044,LEVYCAM CCV LTDA                                            ,145,Não,Internet,LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.                                   ,16/06/2015
50585090,"BCV - BCO, CRÉDITO E VAREJO S.A.                            ",250,Não,RSFN,BCV - BANCO DE CRÉDITO E VAREJO S.A.                                            ,22/04/2002
52904364,NECTON INVESTIMENTOS S.A CVM                                ,354,Não,RSFN,NECTON INVESTIMENTOS  S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES       ,30/10/2019
52937216,BEXS CC S.A.                                                ,253,Não,Internet,Bexs Corretora de Câmbio S/A                                                    ,11/11/2016
53518684,BCO HSBC S.A.                                               ,269,Não,RSFN,BANCO HSBC S.A.                                                                 ,07/02/2018
54403563,BCO ARBI S.A.                                               ,213,Sim,RSFN,Banco Arbi S.A.                                                                 ,22/04/2002
54641030,Câmara B3                          ,n/a,Não,RSFN,Câmara B3                                                                       ,22/04/2002
55230916,INTESA SANPAOLO BRASIL S.A. BM                              ,139,Não,RSFN,Intesa Sanpaolo Brasil S.A. - Banco Múltiplo                                    ,08/05/2015
57839805,BCO TRICURY S.A.                                            ,018,Sim,RSFN,Banco Tricury S.A.                                                              ,05/08/2013
58160789,BCO SAFRA S.A.                                              ,422,Sim,RSFN,Banco Safra S.A.                                                                ,22/04/2002
58497702,BCO LETSBANK S.A.                                           ,630,Não,RSFN,BANCO LETSBANK S.A.                                                             ,22/04/2002
58616418,BCO FIBRA S.A.                                              ,224,Sim,RSFN,Banco Fibra S.A.                                                                ,22/04/2002
59109165,BCO VOLKSWAGEN S.A                                          ,393,Não,RSFN,Banco Volkswagen S.A.                                                           ,17/08/2020
59118133,BCO LUSO BRASILEIRO S.A.                                    ,600,Sim,RSFN,Banco Luso Brasileiro S.A.                                                      ,22/04/2002
59274605,BCO GM S.A.                                                 ,390,Não,RSFN,BANCO GM S.A.                                                                   ,22/07/2020
59285411,BANCO PAN                                                   ,623,Sim,RSFN,Banco Pan S.A.                                                                  ,22/04/2002
59588111,BCO VOTORANTIM S.A.                                         ,655,Sim,RSFN,Banco Votorantim S.A.                                                           ,22/04/2002
60394079,BCO ITAUBANK S.A.                                           ,479,Não,RSFN,Banco ItauBank S.A.                                                             ,22/04/2002
60498557,BCO MUFG BRASIL S.A.                                        ,456,Sim,RSFN,Banco MUFG Brasil S.A.                                                          ,22/04/2002
60518222,BCO SUMITOMO MITSUI BRASIL S.A.                             ,464,Sim,RSFN,Banco Sumitomo Mitsui Brasileiro S.A.                                           ,22/04/2002
60701190,ITAÚ UNIBANCO S.A.                                          ,341,Sim,RSFN,ITAÚ UNIBANCO S.A.                                                              ,22/04/2002
60746948,BCO BRADESCO S.A.                                           ,237,Sim,RSFN,Banco Bradesco S.A.                                                             ,22/04/2002
60814191,BCO MERCEDES-BENZ S.A.                                      ,381,Não,RSFN,BANCO MERCEDES-BENZ DO BRASIL S.A.                                              ,25/05/2020
60850229,OMNI BANCO S.A.                                             ,613,Sim,RSFN,Omni Banco S.A.                                                                 ,22/04/2002
60872504,ITAÚ UNIBANCO HOLDING S.A.                                  ,652,Sim,RSFN,Itaú Unibanco Holding S.A.                                                      ,22/04/2002
60889128,BCO SOFISA S.A.                                             ,637,Sim,RSFN,BANCO SOFISA S.A.                                                               ,22/04/2002
60934221,Câmbio B3                          ,n/a,Não,RSFN,Câmara de Câmbio B3                                                             ,22/04/2002
61024352,BANCO VOITER                                                ,653,Não,RSFN,BANCO VOITER S.A.                                                               ,22/04/2002
61033106,BCO CREFISA S.A.                                            ,069,Sim,RSFN,Banco Crefisa S.A.                                                              ,18/11/2005
61088183,BCO MIZUHO S.A.                                             ,370,Não,RSFN,Banco Mizuho do Brasil S.A.                                                     ,22/04/2002
61182408,BANCO INVESTCRED UNIBANCO S.A.                              ,249,Sim,RSFN,Banco Investcred Unibanco S.A.                                                  ,22/04/2002
61186680,BCO BMG S.A.                                                ,318,Sim,RSFN,Banco BMG S.A.                                                                  ,22/04/2002
61348538,BCO C6 CONSIG                                               ,626,Sim,RSFN,BANCO C6 CONSIGNADO S.A.                                                        ,22/04/2002
61444949,SAGITUR CC LTDA                                             ,270,Não,Internet,Sagitur Corretora de Câmbio Ltda.                                               ,01/08/2018
61533584,BCO SOCIETE GENERALE BRASIL                                 ,366,Sim,RSFN,BANCO SOCIETE GENERALE BRASIL S.A.                                              ,22/04/2002
61723847,MAGLIANO S A  CTVM                                          ,113,Não,RSFN,MAGLIANO S.A. CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS                        ,28/11/2011
61747085,TULLETT PREBON BRASIL CVC LTDA                              ,131,Não,RSFN,TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA                        ,15/07/2013
61809182,C.SUISSE HEDGING-GRIFFO CV S/A                              ,011,Não,RSFN,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A                           ,28/06/2011
61820817,BCO PAULISTA S.A.                                           ,611,Sim,RSFN,Banco Paulista S.A.                                                             ,22/04/2002
62073200,BOFA MERRILL LYNCH BM S.A.                                  ,755,Sim,RSFN,Bank of America Merrill Lynch Banco Múltiplo S.A.                               ,09/11/2007
62109566,CREDISAN CC                                                 ,089,Sim,RSFN,CREDISAN COOPERATIVA DE CRÉDITO                                                 ,30/08/2010
62144175,BCO PINE S.A.                                               ,643,Sim,RSFN,Banco Pine S.A.                                                                 ,22/04/2002
62169875,EASYNVEST - TÍTULO CV SA                                    ,140,Não,RSFN,Easynvest - Título Corretora de Valores SA                                      ,26/05/2015
62232889,BCO DAYCOVAL S.A                                            ,707,Sim,RSFN,Banco Daycoval S.A.                                                             ,22/04/2002
62237649,CAROL DTVM LTDA.                                            ,288,Não,Internet,CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.                      ,05/07/2018
62285390,SINGULARE CTVM S.A.                                         ,363,Não,RSFN,SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                       ,01/06/2020
62287735,RENASCENCA DTVM LTDA                                        ,101,Não,RSFN,RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA                  ,22/04/2010
62331228,DEUTSCHE BANK S.A.BCO ALEMAO                                ,487,Sim,RSFN,DEUTSCHE BANK S.A. - BANCO ALEMAO                                               ,22/04/2002
62421979,BANCO CIFRA                                                 ,233,Não,RSFN,Banco Cifra S.A.                                                                ,22/04/2002
65913436,GUIDE                                                       ,177,Não,RSFN,Guide Investimentos S.A. Corretora de Valores                                   ,08/05/2017
67030395,PLANNER TRUSTEE DTVM LTDA                                   ,438,Não,RSFN,PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.            ,04/05/2021
68757681,SIMPAUL                                                     ,365,Não,RSFN,SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS  S.A.                         ,17/03/2020
68900810,BCO RENDIMENTO S.A.                                         ,633,Sim,RSFN,Banco Rendimento S.A.                                                           ,22/04/2002
71027866,BCO BS2 S.A.                                                ,218,Sim,RSFN,Banco BS2 S.A.                                                                  ,22/04/2002
71590442,LASTRO RDV DTVM LTDA                                        ,293,Não,Internet,Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.                 ,10/09/2018
71677850,FRENTE CC LTDA.                                             ,285,Não,RSFN,Frente Corretora de Câmbio Ltda.                                                ,25/09/2018
73622748,B&T CC LTDA.                                                ,080,Não,RSFN,B&T CORRETORA DE CAMBIO LTDA.                                                   ,18/11/2010
74828799,NOVO BCO CONTINENTAL S.A. - BM                              ,753,Sim,RSFN,Novo Banco Continental S.A. - Banco Múltiplo                                    ,22/04/2002
75647891,BCO CRÉDIT AGRICOLE BR S.A.                                 ,222,Sim,RSFN,BANCO CRÉDIT AGRICOLE BRASIL S.A.                                               ,22/04/2002
76461557,CCR COOPAVEL                                                ,281,Sim,RSFN,Cooperativa de Crédito Rural Coopavel                                           ,05/11/2018
76543115,BANCO SISTEMA                                               ,754,Não,RSFN,Banco Sistema S.A.                                                              ,15/07/2015
76641497,DOURADA CORRETORA                                           ,311,Não,Internet,DOURADA CORRETORA DE CÂMBIO LTDA.                                               ,22/01/2021
78157146,CREDIALIANÇA CCR                                            ,098,Sim,RSFN,Credialiança Cooperativa de Crédito Rural                                       ,18/01/2011
78626983,BCO VR S.A.                                                 ,610,Sim,RSFN,Banco VR S.A.                                                                   ,22/04/2002
78632767,BCO OURINVEST S.A.                                          ,712,Não,RSFN,Banco Ourinvest S.A.                                                            ,28/01/2014
80271455,BCO RNX S.A.                                                ,720,Não,RSFN,BANCO RNX S.A.                                                                  ,24/02/2021
81723108,CREDICOAMO                                                  ,010,Sim,RSFN,CREDICOAMO CREDITO RURAL COOPERATIVA                                            ,10/12/2012
82096447,CECM BRF                                                    ,440,Não,RSFN,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO BRF - CREDIBRF                          ,02/09/2021
87963450,MAGNETIS - DTVM                                             ,442,Não,RSFN,MAGNETIS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA                  ,15/09/2021
89960090,RB INVESTIMENTOS DTVM LTDA.                                 ,283,Não,RSFN,RB INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LIMITADA        ,05/07/2018
90400888,BCO SANTANDER (BRASIL) S.A.                                 ,033,Sim,RSFN,BANCO SANTANDER (BRASIL) S.A.                                                   ,22/04/2002
91884981,BANCO JOHN DEERE S.A.                                       ,217,Sim,RSFN,Banco John Deere S.A.                                                           ,22/04/2002
92702067,BCO DO ESTADO DO RS S.A.                                    ,041,Sim,RSFN,Banco do Estado do Rio Grande do Sul S.A.                                       ,22/04/2002
92856905,ADVANCED CC LTDA                                            ,117,Não,Internet,ADVANCED CORRETORA DE CÂMBIO LTDA                                               ,03/10/2011
92874270,BCO DIGIMAIS S.A.                                           ,654,Sim,RSFN,BANCO DIGIMAIS S.A.                                                             ,22/04/2002
92875780,WARREN CVMC LTDA                                            ,371,Não,RSFN,WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.                          ,13/05/2020
92894922,BANCO ORIGINAL                                              ,212,Sim,RSFN,Banco Original S.A.                                                             ,22/04/2002
94968518,DECYSEO CC LTDA.                                            ,289,Não,Internet,DECYSEO CORRETORA DE CAMBIO LTDA.                                               ,14/03/2019

